modulo,conceito_normativo,implementacao_restaurada,classificacao,evidencia_objetiva,desvio_principal
Administrativo,Empresa,empresas,ATENDE,"Tabela própria; empresa_id propagado nas principais tabelas","RLS e consistência interempresa ainda não tornam o isolamento comprovado"
Administrativo,Usuário,"profiles; usuarios",PARCIAL,"Duas tabelas vinculadas à autenticação","Duas fontes de identidade, empresa e perfil"
Administrativo,Configurações,producao_configuracoes,PARCIAL,"Configuração produtiva por empresa","Não representa o conjunto geral de configurações normativas"
Administrativo,Numeração,numeracao_configuracoes,PARCIAL,"Sequência por empresa","Somente projeto e OF; projeto possui UNIQUE global conflitante"
Administrativo,Parâmetros,producao_configuracoes,PARCIAL,"Alguns parâmetros operacionais existentes","Cobertura restrita à produção"
Administrativo,Tecnologia,tecnologias_aplicadas,ATENDE,"Cadastro próprio e vínculo com recursos/funcionários","Sem vínculo ao roteiro, que não existe"
Administrativo,Recurso,"grupos_recursos; recursos_produtivos",PARCIAL,"Cadastros de grupo e recurso","Capacidade é cadastro estático; não existe calendário/capacidade operacional"
Administrativo,Colaborador,funcionarios,PARCIAL,"Cadastro e vínculo opcional com tecnologia","Sem participação em operação, apontamento ou disponibilidade temporal"
Comercial,Cliente,clientes,ATENDE,"Cadastro e vínculo Projeto→Cliente","Policies RLS críticas reduzem conformidade operacional"
Comercial,Contato,,AUSENTE,"Nenhuma tabela correspondente","Contato está embutido em campos do cliente/fornecedor"
Comercial,Projeto comercial,projetos,PARCIAL,"Projeto possui cliente e estado","Mistura projeto comercial e industrial em uma entidade sem transição formal"
Comercial,Orçamento,,AUSENTE,"Nenhuma tabela correspondente","Não há composição, versão ou aprovação do orçamento"
Comercial,Aprovação comercial,,AUSENTE,"Nenhuma tabela ou evento correspondente","Aprovação aparece apenas como valor de status não oficial"
Engenharia,Projeto industrial,projetos,PARCIAL,"Projeto e itens de projeto existentes","Não há origem comercial formal nem separação de responsabilidade"
Engenharia,Item,projeto_itens,PARCIAL,"Itens vinculados ao projeto e produto","Duplica PN/revisão/material e não registra identidade técnica imutável"
Engenharia,PN,itens_industriais.pn,PARCIAL,"Campo PN no cadastro industrial","Nullable e sem UNIQUE por empresa; PN também duplicado em projeto_itens"
Engenharia,BOM,"boms; bom_itens",PARCIAL,"Versão, produto e componentes modelados","RLS desativada; não há revisão/liberação formal nem vínculo ao roteiro"
Engenharia,Roteiro de fabricação,,AUSENTE,"Nenhuma tabela de roteiro, versão ou etapas","Quebra a origem normativa das necessidades e da execução"
Engenharia,Documento técnico,"campos em itens_industriais",PARCIAL,"Caminhos e nomes de arquivo existentes","Documento não é entidade versionada/rastreável"
Engenharia,Revisão,"itens_industriais.revisao_desenho; projeto_itens.revisao",PARCIAL,"Campos textuais existentes","Sem entidade, histórico, vigência ou aprovação"
PCP,Ordem de fabricação,ordens_fabricacao,PARCIAL,"OF ligada a projeto, item, produto e BOM","Sem roteiro/revisão congelada; estados não oficiais"
PCP,Necessidade de material,"views de demanda",INCOMPATIVEL,"Demanda é calculada por views a partir da BOM","Não existe registro persistente com ciclo de vida e rastreabilidade"
PCP,Decisão PCP,"vw_decisao_material_of; processar_necessidade_material",INCOMPATIVEL,"Função decide automaticamente pelo saldo","Viola decisão humana explícita e não persiste a decisão como entidade"
PCP,Reserva de estoque,"estoque_saldos; estoque_movimentacoes; consumos_internos",INCOMPATIVEL,"Reserva altera saldo e cria movimento; consumo é criado junto","Reserva lógica e consumo físico estão fundidos"
PCP,Programação,,AUSENTE,"Nenhuma entidade correspondente","OF não possui programação operacional formal"
PCP,Dependência entre OFs,,AUSENTE,"Nenhuma relação correspondente","Não há precedência entre ordens"
Suprimentos,Estoque,"estoque_saldos; estoque_movimentacoes; movimentacoes_estoque",PARCIAL,"Saldo e movimentos existem","Dois modelos concorrentes; um trata reserva como movimento físico"
Suprimentos,Requisição,"requisicoes_compra; requisicao_compra_itens",PARCIAL,"Cabeçalho/itens e vínculo opcional à OF","Não referencia Necessidade/Decisão; estados não oficiais"
