tipo_objeto,objeto,classificacao,destino_ou_acao,justificativa
tabela,bom_itens,TRANSFORMAR,bom_itens definitivo,"Preservar composição; corrigir RLS, tenant e vínculo com identidade técnica"
tabela,boms,TRANSFORMAR,boms definitivo,"Preservar BOM versionada; adicionar governança de revisão/liberação e RLS"
tabela,clientes,TRANSFORMAR,clientes definitivo,"Cadastro útil; substituir policies críticas e garantir tenant"
tabela,consumos_internos,TRANSFORMAR,consumos_materiais ou contrato equivalente,"Representar apenas consumo físico e ligar reserva, necessidade e OF"
tabela,credenciais,REMOVER,não integrar baseline,"Gestão de segredos não pertence à arquitetura industrial e possui risco elevado"
tabela,empresas,TRANSFORMAR,empresas definitivo,"Preservar identidade empresarial; reforçar estados, auditoria e segurança"
tabela,estoque_movimentacoes,TRANSFORMAR,movimentos físicos oficiais,"Remover reserva/liberação dos tipos físicos e consolidar razão de estoque"
tabela,estoque_saldos,TRANSFORMAR,estoque_saldos definitivo,"Preservar saldo físico/reservado/livre com atualização transacional"
tabela,fornecedores,TRANSFORMAR,fornecedores definitivo,"Cadastro útil; alinhar classificações e vínculo obrigatório dos pedidos"
tabela,funcionarios,TRANSFORMAR,colaboradores definitivo,"Alinhar terminologia e relações produtivas sem incorporar funções de RH"
tabela,grupos_recursos,TRANSFORMAR,grupos_recursos definitivo,"Preservar agrupamento de recursos sem confundir com grupos de tecnologias"
tabela,itens_industriais,TRANSFORMAR,itens_industriais definitivo,"Tornar PN identidade técnica única e eliminar duplicações"
tabela,materias_primas,TRANSFORMAR,materias_primas definitivo,"Preservar unidade oficial e identidade de material conforme Estudo 001"
tabela,movimentacoes_estoque,SUBSTITUIR,estoque_movimentacoes definitivo,"Segundo razão de estoque concorrente; consolidar em uma única origem"
tabela,numeracao_configuracoes,TRANSFORMAR,numeracao_configuracoes definitivo,"Preservar numeração por empresa e ampliar entidades normativas"
tabela,ordens_fabricacao,TRANSFORMAR,ordens_fabricacao definitivo,"Adicionar roteiro versionado, estados oficiais e impedir atendimento automático"
tabela,pedido_compra_itens,TRANSFORMAR,pedido_compra_itens definitivo,"Preservar itens; reforçar origem rastreável e integridade multiempresa"
tabela,pedidos_compra,TRANSFORMAR,pedidos_compra definitivo,"Estados oficiais e FK obrigatória para fornecedor"
tabela,planejamento_compra_origens,TRANSFORMAR,planejamento_compra_origens definitivo,"Preservar consolidação; ligar à cadeia necessidade/decisão/requisição"
tabela,planejamentos_compra,TRANSFORMAR,planejamentos_compra definitivo,"Preservar responsabilidade sem assumir decisão PCP"
tabela,producao_configuracoes,TRANSFORMAR,configuracoes operacionais definitivas,"Preservar parâmetros válidos e separar configurações por responsabilidade"
